grad_norm,loss,mse,param_norm,samples,step,train_loss_q0,train_loss_q1,train_loss_q3,train_mse_q0,train_mse_q1,train_mse_q3,train_loss_q2,train_mse_q2
0.011415116890523852,0.0132245859131217,0.0132245859131217,404.1884593281691,32,0,0.024542471393942833,0.0037516788579523563,6.172095163492486e-05,0.024542471393942833,0.0037516788579523563,6.172095163492486e-05,,
0.01677927143791907,0.003944389253151703,0.003944389253151703,404.42229051879946,32032,1000,0.012461720739832581,0.002937661694087241,2.7390040083536205e-05,0.012461720739832581,0.002937661694087241,2.7390040083536205e-05,0.00028667652570663835,0.00028667652570663835
0.01703527535253662,0.004365157965044989,0.004365157965044989,405.01508181387135,64032,2000,0.013748219635712251,0.0028435011491694546,2.7371203093349558e-05,0.013748219635712251,0.0028435011491694546,2.7371203093349558e-05,0.0003415801825097891,0.0003415801825097891
0.01587212477198303,0.004022502811465521,0.004022502811465521,405.4222150462722,96032,3000,0.012902990005803663,0.0027155634241840827,2.5301203711222398e-05,0.012902990005803663,0.0027155634241840827,2.5301203711222398e-05,0.00031760613193903767,0.00031760613193903767
0.01577645505822842,0.004093389266743089,0.004093389266743089,405.86492625371733,128032,4000,0.013413057123239027,0.00269458392161962,2.5529329485960965e-05,0.013413057123239027,0.00269458392161962,2.5529329485960965e-05,0.0002794369718093802,0.0002794369718093802
0.01665329771336574,0.0039311005728195625,0.0039311005728195625,406.372843253927,160032,5000,0.012904769829887823,0.0026262251519391902,2.7515563939838712e-05,0.012904769829887823,0.0026262251519391902,2.7515563939838712e-05,0.000310949174031667,0.000310949174031667
0.01624808510575074,0.003719304567239305,0.003719304567239305,406.89341622521323,192032,6000,0.012274024376273472,0.0027395723775289755,2.4987654188950955e-05,0.012274024376273472,0.0027395723775289755,2.4987654188950955e-05,0.0002883027262986932,0.0002883027262986932
0.017116431744475073,0.004082123817067447,0.004082123817067447,407.65913074348185,224032,7000,0.013171175136823754,0.002702943933169288,2.7396186126335095e-05,0.013171175136823754,0.002702943933169288,2.7396186126335095e-05,0.0003128438601288963,0.0003128438601288963
0.015847883598710474,0.003955046183069491,0.003955046183069491,408.1219042770208,256032,8000,0.013023447585576445,0.0026281931135583815,2.5191689908170885e-05,0.013023447585576445,0.0026281931135583815,2.5191689908170885e-05,0.0003152985401040749,0.0003152985401040749
0.016153326637090695,0.003736431918052407,0.003736431918052407,408.5612955826648,288032,9000,0.01204309121286759,0.002651202897030553,2.6363354333025843e-05,0.01204309121286759,0.002651202897030553,2.6363354333025843e-05,0.0002979267272715548,0.0002979267272715548
0.0159408507356626,0.004021315739326387,0.004021315739326387,409.0736958803089,320032,10000,0.013079351670921445,0.0028361428156841503,2.5214503067353985e-05,0.013079351670921445,0.0028361428156841503,2.5214503067353985e-05,0.00032234466281131437,0.00032234466281131437
0.016638870462144253,0.0040636218755771515,0.0040636218755771515,409.46877006308875,352032,11000,0.013136584575828824,0.002939373540071356,2.578009154035611e-05,0.013136584575828824,0.002939373540071356,2.578009154035611e-05,0.0003187674928713765,0.0003187674928713765
0.015731369565867962,0.004417437615699766,0.004417437615699766,409.9534794181524,384032,12000,0.014157597986206394,0.0027808238010310522,2.642136563820481e-05,0.014157597986206394,0.0027808238010310522,2.642136563820481e-05,0.0003197439168978235,0.0003197439168978235
0.016312321420504802,0.004204464172975351,0.004204464172975351,410.5104929896461,416032,13000,0.013818265764915842,0.0027295991061950463,2.500394614681195e-05,0.013818265764915842,0.0027295991061950463,2.500394614681195e-05,0.0003204665779049263,0.0003204665779049263
0.01595811225994213,0.004118517316816914,0.004118517316816914,410.90777075443606,448032,14000,0.013096410666250332,0.0026578807445987243,2.5875297829628265e-05,0.013096410666250332,0.0026578807445987243,2.5875297829628265e-05,0.0003304425137383445,0.0003304425137383445
0.016292178416130544,0.003971063957214933,0.003971063957214933,411.31733359489743,480032,15000,0.012519983693222048,0.0026286587248332553,2.490217719342888e-05,0.012519983693222048,0.0026286587248332553,2.490217719342888e-05,0.00030888080510529,0.00030888080510529
0.01609991627764883,0.003571104009506592,0.003571104009506592,411.7586905804708,512032,16000,0.011495650005693615,0.0027621454303327457,2.5579571501384025e-05,0.011495650005693615,0.0027621454303327457,2.5579571501384025e-05,0.0003118869464953885,0.0003118869464953885
0.015568655321907642,0.004092818159361744,0.004092818159361744,412.2022496300984,544032,17000,0.013347727927421432,0.002596315339767619,2.5322968994712932e-05,0.013347727927421432,0.002596315339767619,2.5322968994712932e-05,0.0002940648901724316,0.0002940648901724316
0.015912861451460238,0.004210380213989999,0.004210380213989999,412.67877560639636,576032,18000,0.013301205298119196,0.0028538432680416206,2.406143697369462e-05,0.013301205298119196,0.0028538432680416206,2.406143697369462e-05,0.00030767664184000313,0.00030767664184000313
0.016107183975634345,0.004384980450956384,0.004384980450956384,413.2207064024113,608032,19000,0.013976878641983706,0.0027050857215289445,2.738032316592009e-05,0.013976878641983706,0.0027050857215289445,2.738032316592009e-05,0.00032142558544284245,0.00032142558544284245
0.015953495958887003,0.004144343984980869,0.004144343984980869,413.7758596189447,640032,20000,0.013460256711191705,0.002821290758328061,2.458870954667359e-05,0.013460256711191705,0.002821290758328061,2.458870954667359e-05,0.0003071006126097191,0.0003071006126097191
0.016129935973597038,0.0039860709359099975,0.0039860709359099975,414.1592509962529,672032,21000,0.012797009762173453,0.002869159632597505,2.460517197550741e-05,0.012797009762173453,0.002869159632597505,2.460517197550741e-05,0.000316134957972974,0.000316134957972974
